block,trial_number,auditory_stimulus,left_image,right_image,target_label,left_video,right_video,target_side,correct_response,playing_side,background,trial_type
7,30,acrossTheUniverse_70dB005,,,,crayon_atypical,crayon_typical,left,0,both,black-background,PLP
7,31,acrossTheUniverse_70dB006,,,,ball_typical,ball_atypical,right,1,right,black-background,PLP
7,31,acrossTheUniverse_70dB007,,,,ball_typical,ball_atypical,right,1,left,black-background,PLP
7,31,acrossTheUniverse_70dB008,,,,ball_typical,ball_atypical,right,1,both,black-background,PLP
7,32,acrossTheUniverse_70dB009,,,,apple_typical,apple_atypical,right,1,right,black-background,PLP
7,32,acrossTheUniverse_70dB010,,,,apple_typical,apple_atypical,right,1,left,black-background,PLP
7,32,acrossTheUniverse_70dB011,,,,apple_typical,apple_atypical,right,1,both,black-background,PLP
7,33,acrossTheUniverse_70dB012,,,,Bubbles6,Bubbles6,left,0,both,black-background,PLP
8,34,yellow_70dB000,,,,crayon_atypical,crayon_typical,left,0,right,black-background,PLP
8,34,yellow_70dB001,,,,crayon_atypical,crayon_typical,left,0,left,black-background,PLP
8,34,yellow_70dB002,,,,crayon_atypical,crayon_typical,left,0,both,black-background,PLP
8,35,yellow_70dB003,,,,ball_typical,ball_atypical,right,1,right,black-background,PLP
8,35,yellow_70dB004,,,,ball_typical,ball_atypical,right,1,left,black-background,PLP
8,35,yellow_70dB005,,,,ball_typical,ball_atypical,right,1,both,black-background,PLP
8,36,yellow_70dB006,,,,apple_typical,apple_atypical,right,1,right,black-background,PLP
8,36,yellow_70dB007,,,,apple_typical,apple_atypical,right,1,left,black-background,PLP
8,36,yellow_70dB008,,,,apple_typical,apple_atypical,right,1,both,black-background,PLP
8,37,yellow_70dB009,,,,toothbrush_atypical,toothbrush_typical,left,0,right,black-background,PLP
8,37,yellow_70dB010,,,,toothbrush_atypical,toothbrush_typical,left,0,left,black-background,PLP
8,37,yellow_70dB011,,,,toothbrush_atypical,toothbrush_typical,left,0,both,black-background,PLP
8,38,yellow_70dB012,,,,Kaleidoscope6,Kaleidoscope6,right,1,both,black-background,PLP
9,39,acrossTheUniverse_70dB013,,,,apple_atypical,apple_typical,left,0,right,black-background,PLP
9,39,acrossTheUniverse_70dB014,,,,apple_atypical,apple_typical,left,0,left,black-background,PLP
9,39,acrossTheUniverse_70dB015,,,,apple_atypical,apple_typical,left,0,both,black-background,PLP
9,40,acrossTheUniverse_70dB016,,,,toothbrush_typical,toothbrush_atypical,right,1,right,black-background,PLP
9,40,acrossTheUniverse_70dB017,,,,toothbrush_typical,toothbrush_atypical,right,1,left,black-background,PLP
9,40,acrossTheUniverse_70dB018,,,,toothbrush_typical,toothbrush_atypical,right,1,both,black-background,PLP
9,41,acrossTheUniverse_70dB019,,,,crayon_typical,crayon_atypical,right,1,right,black-background,PLP
9,41,acrossTheUniverse_70dB020,,,,crayon_typical,crayon_atypical,right,1,left,black-background,PLP
9,41,acrossTheUniverse_70dB021,,,,crayon_typical,crayon_atypical,right,1,both,black-background,PLP
9,42,acrossTheUniverse_70dB022,,,,ball_atypical,ball_typical,left,0,right,black-background,PLP
9,42,acrossTheUniverse_70dB023,,,,ball_atypical,ball_typical,left,0,left,black-background,PLP
9,42,acrossTheUniverse_70dB024,,,,ball_atypical,ball_typical,left,0,both,black-background,PLP
9,43,acrossTheUniverse_70dB025,,,,Drops6,Drops6,right,1,both,black-background,PLP
10,44,yellow_70dB013,,,,apple_atypical,apple_typical,left,0,right,black-background,PLP
10,44,yellow_70dB014,,,,apple_atypical,apple_typical,left,0,left,black-background,PLP
10,44,yellow_70dB015,,,,apple_atypical,apple_typical,left,0,both,black-background,PLP
10,45,yellow_70dB016,,,,ball_atypical,ball_typical,left,0,right,black-background,PLP
10,45,yellow_70dB017,,,,ball_atypical,ball_typical,left,0,left,black-background,PLP
10,45,yellow_70dB018,,,,ball_atypical,ball_typical,left,0,both,black-background,PLP
10,46,yellow_70dB019,,,,toothbrush_typical,toothbrush_atypical,right,1,right,black-background,PLP
10,46,yellow_70dB020,,,,toothbrush_typical,toothbrush_atypical,right,1,left,black-background,PLP
10,46,yellow_70dB021,,,,toothbrush_typical,toothbrush_atypical,right,1,both,black-background,PLP
10,47,yellow_70dB022,,,,crayon_typical,crayon_atypical,right,1,right,black-background,PLP
10,47,yellow_70dB023,,,,crayon_typical,crayon_atypical,right,1,left,black-background,PLP
10,47,yellow_70dB024,,,,crayon_typical,crayon_atypical,right,1,both,black-background,PLP
10,48,yellow_70dB025,,,,Planets6,Planets6,left,0,both,black-background,PLP
